Ornek1;Ornek2;Ornek3;Ornek4;Ornek5;Ornek6;Ornek7;Ornek8;Ornek9;Ornek10;Ornek11;Ornek12;Ornek13;Ornek14;Ornek15;Ornek16;Ornek17;Ornek18;Ornek19;Ornek20;Ornek21;Ornek22;Ornek23;Ornek24;Ornek25;Ornek26;Ornek27;Ornek28;Ornek29;Ornek30;Ornek31;Ornek32;Ornek33;Ornek34;Ornek35;Ornek36;Ornek37;Ornek38;Ornek39;Ornek40;Ornek41;Ornek42;Ornek43;Ornek44;Ornek45;Ornek46;Ornek47;Ornek48;Ornek49;Ornek50;Ornek51;Ornek52;Ornek53;Ornek54;Ornek55;Ornek56;Ornek57;Ornek58;Ornek59;Ornek60;Ornek61;Ornek62;Ornek63;Ornek64;Ornek65;Ornek66;Ornek67;Ornek68;Ornek69;Ornek70
73;71;63;61;60;67;56;54;65;65;66;65;65;66;73;70;87;79;62;79;48;47;68;47;54;76;66;65;65;79;55;54;56;53;53;52;58;53;56;54;56;41;44;41;50;49;49;48;54;56;41;44;55;93;52;52;54;82;73;92;64;66;69;68;66;47;48;78;72;58
73;71;63;60;59;67;56;54;65;66;66;66;65;67;73;71;87;79;62;79;51;50;68;52;54;75;65;65;65;79;55;54;56;53;53;52;57;53;56;54;56;41;44;41;50;49;49;48;54;56;41;44;55;93;52;52;54;82;73;92;64;67;68;68;66;48;50;78;72;58
73;70;63;60;60;67;56;54;65;65;66;65;65;66;75;71;86;79;62;78;54;53;67;55;54;75;65;65;65;78;54;54;55;53;53;51;57;53;56;54;56;41;44;41;49;49;49;48;54;56;41;44;55;92;52;51;55;82;73;91;64;66;68;68;65;49;52;77;72;58
73;70;63;60;59;67;56;54;65;65;66;66;65;67;74;70;86;79;62;78;56;55;67;57;53;75;66;65;65;78;54;54;55;53;53;52;57;53;55;54;56;41;44;41;49;49;49;48;54;56;41;44;55;91;52;51;54;81;72;90;63;66;68;67;65;49;52;77;71;58
73;69;64;60;59;67;56;54;65;65;66;65;65;67;73;71;86;79;62;78;58;57;67;59;53;75;65;65;65;77;54;53;55;53;53;52;57;54;55;54;56;41;44;41;49;48;48;48;54;56;41;44;55;91;52;52;54;81;72;90;63;66;68;67;65;49;52;77;71;57
73;69;63;60;59;66;56;54;65;66;66;65;65;67;74;71;85;79;63;78;60;59;67;61;53;76;65;65;65;76;54;53;55;52;53;51;57;54;55;54;56;41;44;42;49;48;49;48;54;56;41;44;55;90;51;51;54;81;72;89;63;65;68;67;65;50;53;76;71;57
73;70;63;60;60;67;55;53;66;65;66;66;65;67;74;71;85;79;64;78;62;61;66;63;53;75;66;65;65;76;54;53;55;52;53;51;56;54;55;54;55;41;44;41;49;48;48;48;54;55;41;44;55;90;52;51;54;81;71;89;63;65;67;67;65;51;53;76;70;57
73;70;63;60;59;67;55;53;65;66;66;66;65;68;71;71;85;78;64;77;64;63;66;65;53;75;66;65;65;76;53;53;54;52;52;51;56;54;55;54;55;41;43;41;49;48;48;48;54;55;41;43;54;89;51;51;54;80;71;88;63;65;67;66;64;51;56;76;70;57
73;70;63;60;59;67;55;53;65;66;66;65;65;67;75;70;85;78;65;77;65;64;66;66;53;75;66;65;65;76;53;53;54;52;52;51;56;54;54;54;55;41;44;41;48;48;48;48;54;55;41;44;54;89;51;51;54;80;71;88;62;65;67;66;64;52;56;75;70;57
73;69;63;60;59;67;55;53;65;66;66;65;65;67;74;71;85;77;66;77;67;66;66;68;53;75;65;65;65;75;53;53;54;52;52;51;56;54;54;53;55;41;43;42;49;48;48;48;53;55;41;43;54;89;51;51;54;79;70;87;63;65;67;66;64;52;56;75;70;57
72;69;63;60;60;67;55;53;65;66;66;66;66;68;74;70;84;77;67;77;68;67;66;69;53;76;65;89;65;75;53;54;54;52;52;51;56;54;54;54;55;41;44;41;48;48;48;48;54;55;41;44;54;89;51;51;53;79;70;87;62;64;66;66;64;53;57;74;69;57
72;70;63;60;59;66;55;53;65;66;66;65;65;68;75;70;84;77;67;77;70;69;66;71;53;75;65;89;65;75;52;53;53;52;52;51;56;54;54;54;55;41;43;41;48;48;49;48;54;55;41;43;54;88;51;50;53;79;70;86;62;64;66;66;64;53;57;74;69;57
72;71;63;60;59;67;54;53;65;66;66;66;65;67;73;71;84;77;68;77;71;70;66;72;53;75;66;89;65;75;52;53;53;52;51;50;56;54;54;53;54;40;43;41;48;48;54;48;53;54;40;43;53;88;51;51;53;78;70;85;62;64;66;66;63;54;58;74;69;58
73;73;63;60;59;67;54;53;65;65;66;65;65;68;73;71;83;77;69;77;72;71;66;73;52;77;65;90;65;75;52;53;53;51;52;50;55;53;54;53;55;41;43;41;48;48;57;47;53;55;41;43;53;88;51;51;53;78;69;85;62;64;66;66;64;54;59;74;69;63
73;73;63;60;60;66;54;52;65;66;66;65;65;68;72;70;83;77;69;76;74;73;65;75;52;76;66;90;65;75;52;53;53;51;51;50;55;53;53;54;54;41;43;41;48;47;60;48;54;54;41;43;54;87;51;50;53;78;69;85;62;64;66;66;63;55;59;74;68;67
72;73;63;60;59;67;54;52;65;66;66;66;66;67;73;70;84;77;70;77;75;71;65;76;52;76;65;91;65;75;52;55;53;51;51;50;55;53;53;54;54;41;43;41;48;48;63;47;54;54;41;43;54;87;51;50;53;77;69;84;61;63;66;65;63;55;62;73;68;70
72;73;63;60;59;67;54;52;65;66;66;65;65;68;73;70;84;76;71;77;76;75;65;77;52;76;65;90;63;75;52;55;52;51;51;50;55;53;53;53;54;41;43;41;47;48;65;48;53;54;41;43;53;87;50;50;53;77;69;83;61;63;66;65;63;56;62;73;68;73
72;73;63;60;60;66;54;52;65;65;66;66;65;66;71;70;84;77;71;76;77;76;65;79;52;75;66;91;61;75;52;52;52;51;51;50;55;53;53;53;54;41;43;41;47;47;67;47;53;54;41;43;53;86;51;50;53;77;68;83;61;63;66;65;63;56;63;73;67;76
72;73;62;60;59;67;54;52;65;66;66;65;65;69;72;70;84;77;72;76;78;77;65;80;52;76;65;91;60;75;51;52;52;51;51;50;55;53;53;53;54;41;43;41;47;47;69;47;53;54;41;43;53;86;50;50;53;76;68;83;61;63;65;65;63;57;63;73;67;77
72;73;63;60;59;66;54;52;65;65;66;65;65;67;73;70;84;76;72;76;79;78;65;81;52;75;65;92;60;75;51;52;52;51;50;50;54;53;53;53;54;41;43;41;47;47;70;47;53;54;41;43;53;85;51;50;53;76;68;82;60;63;65;65;62;57;63;72;67;79
72;73;63;60;59;67;53;52;63;65;66;66;65;66;73;71;81;76;73;76;80;79;64;82;52;76;65;92;60;76;51;52;52;50;50;50;54;53;53;53;54;40;43;41;47;47;71;47;53;54;40;43;53;85;50;50;52;76;67;82;61;63;65;65;62;57;63;72;66;81
